design_rank,symbol,base_asset,universe_group,notes,bars,earliest,latest,median_quote_volume,median_range_proxy,gap_count,max_gap_hours,is_stable_or_synthetic,has_local_history,coverage_pass,gap_pass,liquidity_pass,eligible,selection_status
17,UNIUSDT,UNI,defi,High-liquidity DeFi asset.,17520,2024-06-15 03:30:00+05:30,2026-06-15 02:30:00+05:30,855415.89255,0.011893132376893868,0,1.0,False,True,True,True,True,True,eligible
18,APTUSDT,APT,layer1,High-liquidity layer-1 asset.,17520,2024-06-15 03:30:00+05:30,2026-06-15 02:30:00+05:30,669518.8559,0.012379332774210725,0,1.0,False,True,True,True,True,True,eligible
19,ICPUSDT,ICP,layer1,High-liquidity layer-1 asset.,17520,2024-06-15 03:30:00+05:30,2026-06-15 02:30:00+05:30,422020.882805,0.012213909342016903,0,1.0,False,True,True,True,True,True,eligible
20,ETCUSDT,ETC,legacy,High-liquidity legacy crypto asset.,17520,2024-06-15 03:30:00+05:30,2026-06-15 02:30:00+05:30,252496.4804,0.00887285499855094,0,1.0,False,True,True,True,True,True,eligible
21,FILUSDT,FIL,storage,High-liquidity storage asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
22,ARBUSDT,ARB,layer2,High-liquidity layer-2 asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
23,OPUSDT,OP,layer2,High-liquidity layer-2 asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
24,INJUSDT,INJ,defi,High-liquidity DeFi asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
25,ATOMUSDT,ATOM,layer1,High-liquidity layer-1 asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
26,XLMUSDT,XLM,payment,High-liquidity payments asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
27,ALGOUSDT,ALGO,layer1,High-liquidity layer-1 asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
28,AAVEUSDT,AAVE,defi,High-liquidity DeFi lending asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
29,MKRUSDT,MKR,defi,High-liquidity DeFi governance asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
30,RUNEUSDT,RUNE,defi,High-liquidity DeFi asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
31,FETUSDT,FET,ai_data,High-liquidity AI/data themed asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
32,SEIUSDT,SEI,layer1,High-liquidity layer-1 asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
33,TIAUSDT,TIA,data_availability,High-liquidity modular blockchain asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
34,WLDUSDT,WLD,identity_ai,High-liquidity identity/AI themed asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
35,JUPUSDT,JUP,defi,High-liquidity DeFi asset subject to history coverage.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
36,PENDLEUSDT,PENDLE,defi,High-liquidity DeFi asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
37,STXUSDT,STX,bitcoin_ecosystem,High-liquidity Bitcoin ecosystem asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
38,LDOUSDT,LDO,defi,High-liquidity liquid-staking asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
39,GRTUSDT,GRT,data_indexing,High-liquidity data indexing asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
40,IMXUSDT,IMX,gaming,High-liquidity gaming/infrastructure asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
41,SUIUSDT,SUI,layer1,High-liquidity layer-1 asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
42,PEPEUSDT,PEPE,meme,High-liquidity meme asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
43,FLOKIUSDT,FLOKI,meme,High-liquidity meme asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
44,RENDERUSDT,RENDER,ai_gpu,High-liquidity AI/GPU themed asset subject to exchange symbol availability.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
45,TAOUSDT,TAO,ai,High-liquidity AI themed asset subject to exchange availability.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
46,ENAUSDT,ENA,defi,High-liquidity DeFi asset subject to history coverage.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
47,ORDIUSDT,ORDI,bitcoin_ecosystem,High-liquidity Bitcoin ecosystem asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
48,ARUSDT,AR,storage,High-liquidity storage asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
49,SANDUSDT,SAND,gaming,High-liquidity gaming asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
50,MANAUSDT,MANA,gaming,High-liquidity gaming asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
51,AXSUSDT,AXS,gaming,High-liquidity gaming asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
52,APEUSDT,APE,nft_culture,High-liquidity NFT/culture asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
53,CHZUSDT,CHZ,consumer,High-liquidity consumer/fan-token ecosystem asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
54,ENSUSDT,ENS,identity,High-liquidity identity asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
55,COMPUSDT,COMP,defi,High-liquidity DeFi lending asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
56,SNXUSDT,SNX,defi,High-liquidity derivatives DeFi asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
57,CRVUSDT,CRV,defi,High-liquidity DeFi asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
58,1INCHUSDT,1INCH,defi,High-liquidity DeFi aggregator asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
59,CAKEUSDT,CAKE,defi,High-liquidity DeFi exchange asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
60,THETAUSDT,THETA,media_infra,High-liquidity media infrastructure asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
61,EOSUSDT,EOS,legacy_layer1,Legacy layer-1 asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
62,ZECUSDT,ZEC,privacy,Legacy privacy asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
63,DASHUSDT,DASH,legacy_payment,Legacy payments asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
64,MINAUSDT,MINA,layer1,Layer-1 asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
65,KAVAUSDT,KAVA,layer1,Layer-1 asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
66,ROSEUSDT,ROSE,privacy_compute,Privacy/compute asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
67,CELOUSDT,CELO,layer1,Layer-1 payments asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
68,IOTAUSDT,IOTA,iot,IoT themed asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
69,QTUMUSDT,QTUM,legacy_layer1,Legacy layer-1 asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
70,ZILUSDT,ZIL,layer1,Layer-1 asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
71,ANKRUSDT,ANKR,infrastructure,Infrastructure asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
72,BATUSDT,BAT,consumer,Consumer/web asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
73,ENJUSDT,ENJ,gaming,Gaming asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
74,ONEUSDT,ONE,layer1,Layer-1 asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
75,IOSTUSDT,IOST,layer1,Layer-1 asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion
