universe,design_rank,symbol,base_asset,universe_group,notes,bars,earliest,latest,median_quote_volume,median_range_proxy,gap_count,max_gap_hours,is_stable_or_synthetic,has_local_history,coverage_pass,gap_pass,liquidity_pass,eligible,selection_status,target_size,selection_mode,selected_by_design
crypto50,11,TONUSDT,TON,large_cap_layer1,Large-cap layer-1 asset subject to exchange availability.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,12,SHIBUSDT,SHIB,large_cap_meme,High-liquidity meme asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,13,DOTUSDT,DOT,large_cap_layer1,High-liquidity layer-1 asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,14,BCHUSDT,BCH,large_cap_legacy,High-liquidity legacy crypto asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,15,LTCUSDT,LTC,large_cap_legacy,High-liquidity legacy crypto asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,16,NEARUSDT,NEAR,large_cap_layer1,High-liquidity layer-1 asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,17,UNIUSDT,UNI,defi,High-liquidity DeFi asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,18,APTUSDT,APT,layer1,High-liquidity layer-1 asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,19,ICPUSDT,ICP,layer1,High-liquidity layer-1 asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,20,ETCUSDT,ETC,legacy,High-liquidity legacy crypto asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,21,FILUSDT,FIL,storage,High-liquidity storage asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,22,ARBUSDT,ARB,layer2,High-liquidity layer-2 asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,23,OPUSDT,OP,layer2,High-liquidity layer-2 asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,24,INJUSDT,INJ,defi,High-liquidity DeFi asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,25,ATOMUSDT,ATOM,layer1,High-liquidity layer-1 asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,26,XLMUSDT,XLM,payment,High-liquidity payments asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,27,ALGOUSDT,ALGO,layer1,High-liquidity layer-1 asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,28,AAVEUSDT,AAVE,defi,High-liquidity DeFi lending asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,29,MKRUSDT,MKR,defi,High-liquidity DeFi governance asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,30,RUNEUSDT,RUNE,defi,High-liquidity DeFi asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,31,FETUSDT,FET,ai_data,High-liquidity AI/data themed asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,32,SEIUSDT,SEI,layer1,High-liquidity layer-1 asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,33,TIAUSDT,TIA,data_availability,High-liquidity modular blockchain asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,34,WLDUSDT,WLD,identity_ai,High-liquidity identity/AI themed asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,35,JUPUSDT,JUP,defi,High-liquidity DeFi asset subject to history coverage.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,36,PENDLEUSDT,PENDLE,defi,High-liquidity DeFi asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,37,STXUSDT,STX,bitcoin_ecosystem,High-liquidity Bitcoin ecosystem asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,38,LDOUSDT,LDO,defi,High-liquidity liquid-staking asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,39,GRTUSDT,GRT,data_indexing,High-liquidity data indexing asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,40,IMXUSDT,IMX,gaming,High-liquidity gaming/infrastructure asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,41,SUIUSDT,SUI,layer1,High-liquidity layer-1 asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,42,PEPEUSDT,PEPE,meme,High-liquidity meme asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,43,FLOKIUSDT,FLOKI,meme,High-liquidity meme asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,44,RENDERUSDT,RENDER,ai_gpu,High-liquidity AI/GPU themed asset subject to exchange symbol availability.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,45,TAOUSDT,TAO,ai,High-liquidity AI themed asset subject to exchange availability.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,46,ENAUSDT,ENA,defi,High-liquidity DeFi asset subject to history coverage.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,47,ORDIUSDT,ORDI,bitcoin_ecosystem,High-liquidity Bitcoin ecosystem asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,48,ARUSDT,AR,storage,High-liquidity storage asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,49,SANDUSDT,SAND,gaming,High-liquidity gaming asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,50,MANAUSDT,MANA,gaming,High-liquidity gaming asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
